id,track_id,name,artists,genre,subgenre
0,6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,"['Ed Sheeran', 'Justin Bieber']",pop,dance pop
1,0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,['Maroon 5'],pop,dance pop
2,1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,"['Zara Larsson', 'Don Diablo']",pop,dance pop
3,75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,"['The Chainsmokers', 'Bebe Rexha']",pop,dance pop
4,1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,['Lewis Capaldi'],pop,dance pop
5,7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,"['Ed Sheeran', 'Khalid', 'Jack Wins']",pop,dance pop
6,2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,"['Katy Perry', 'R3HAB']",pop,dance pop
7,6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,"['Sam Feldt', 'RANI', 'GATTÜSO']",pop,dance pop
8,7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,['Avicii'],pop,dance pop
9,1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,"['Shawn Mendes', 'Gryffin']",pop,dance pop
10,3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,"['Ed Sheeran', 'Chance the Rapper', 'PnB Rock']",pop,dance pop
11,3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,"['Ellie Goulding', 'Juice WRLD', 'R3HAB']",pop,dance pop
12,6e0CvGZf7CouOpYF8toXHC,Body On My,"['Loud Luxury', 'Pitbull', 'Nicky Jam']",pop,dance pop
13,3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,['Avicii'],pop,dance pop
14,55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,"['Martin Garrix', 'Macklemore', 'Fall Out Boy']",pop,dance pop
15,1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,"['Ed Sheeran', 'Cardi B', 'Andy Jarvis']",pop,dance pop
16,5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,"['AJ Mitchell', 'Eden Prince']",pop,dance pop
17,3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,"['David Guetta', 'Lucas & Steve']",pop,dance pop
18,0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,"['Sam Smith', 'Normani']",pop,dance pop
19,2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,"['Steve Aoki', 'Backstreet Boys']",pop,dance pop
20,4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,"['Avicii', 'David Guetta', 'MORTEN']",pop,dance pop
21,3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,"['R3HAB', 'A Touch Of Class', 'Marnik']",pop,dance pop
22,1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,"['David Guetta', 'EDX']",pop,dance pop
23,2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,"['AJ Mitchell', 'Sam Feldt']",pop,dance pop
24,4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,['The Chainsmokers'],pop,dance pop
25,5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,['Lewis Capaldi'],pop,dance pop
26,2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,"['Marshmello', 'Kane Brown']",pop,dance pop
27,1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,"['Ellie Goulding', 'Diplo', 'Swae Lee']",pop,dance pop
28,4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,"['Ava Max', 'Toby Green']",pop,dance pop
29,1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,"['Nikki Vianna', 'Matoma', 'Breathe Carolina']",pop,dance pop
30,1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,"['Charlie Puth', 'Fedde Le Grand']",pop,dance pop
31,4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,"['Starley', 'Eden Prince']",pop,dance pop
32,0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,['Zara Larsson'],pop,dance pop
33,7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,"['Ava Max', 'KREAM']",pop,dance pop
34,7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,"['James Arthur', 'Steve Void']",pop,dance pop
35,4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,['MAX'],pop,dance pop
36,508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,"['Marshmello', 'Bastille']",pop,dance pop
37,7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,['The Chainsmokers'],pop,dance pop
38,6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],"['ILLENIUM', 'Jon Bellion', 'Tiësto']",pop,dance pop
39,5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,"['Bazzi vs.', 'Black Caviar']",pop,dance pop
40,5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,"['Charli XCX', 'EDX']",pop,dance pop
41,6oJ6le65B3SEqPwMRNXWjY,Higher Love,"['Kygo', 'Whitney Houston']",pop,dance pop
42,2tilX6FUl0IwFgiOYjuc6V,Unlove You,"['Armin van Buuren', 'Ne-Yo']",pop,dance pop
43,3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),"['Billie Eilish', 'Justin Bieber']",pop,dance pop
44,478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,"['Ava Max', 'Keanu Silva']",pop,dance pop
45,3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,"['Sia', 'Diplo', 'Labrinth']",pop,dance pop
46,2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,"['Sean Paul', 'Benny Benassi', 'BB Team']",pop,dance pop
47,79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,"['Charli XCX', 'Christine and the Queens', 'The Wild']",pop,dance pop
48,6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,"['Estelle', 'Brooks']",pop,dance pop
49,08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,"['Bastille', 'M-22']",pop,dance pop
50,1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),"['for KING & COUNTRY', 'R3HAB']",pop,dance pop
51,5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,"['Steve Aoki', 'Darren Criss']",pop,dance pop
52,3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,"['Lil Nas X', 'Billy Ray Cyrus', 'Diplo']",pop,dance pop
53,5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,"['Starley', 'GATTÜSO']",pop,dance pop
54,3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,"['Calvin Harris', 'Sam Smith']",pop,dance pop
55,2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,"['R3HAB', 'ZAYN', 'Skytech']",pop,dance pop
56,3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,"[""Why Don't We"", 'Sondr']",pop,dance pop
57,1ppOGANOzMT01Cxh9jx4hN,Cool Kids,"['Olympis', 'Alfons', 'Helion']",pop,dance pop
58,5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,"['DJ Snake', 'J Balvin', 'Tyga']",pop,dance pop
59,6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,"['Smash Mouth', 'Breathe Carolina']",pop,dance pop
60,6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,['SHAED'],pop,dance pop
61,4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,"['David Guetta', 'Mark Knight', 'The FaNaTiX']",pop,dance pop
62,1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,"['Kaskade', 'Meghan Trainor']",pop,dance pop
63,4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,['GASHI'],pop,dance pop
64,6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,"['Bazzi vs.', 'EDX']",pop,dance pop
65,3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,"['Khalid', 'Disclosure']",pop,dance pop
66,4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,"['Herve Pagez', 'Diplo', 'Charli XCX']",pop,dance pop
67,6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,"['Mark Ronson', 'Claptone']",pop,dance pop
68,27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,"['James Arthur', 'R3HAB']",pop,dance pop
69,6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,"['Arlissa', 'Jonas Blue']",pop,dance pop
70,05CwHjIk71RXVU40boRMnR,Call You Mine,['The Chainsmokers'],pop,dance pop
71,0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),['Sam Feldt'],pop,dance pop
72,5icOoE6VgqFKohjWWNp0Ac,Here With Me,"['Marshmello', 'CHVRCHES']",pop,dance pop
73,6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,"['5 Seconds of Summer', 'Seeb']",pop,dance pop
74,4PkIDTPGedm0enzdvilLNd,Sixteen,['Ellie Goulding'],pop,dance pop
75,5PYQUBXc7NYeI1obMKSJK0,Never Really Over,['Katy Perry'],pop,dance pop
76,4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),"['Gryffin', 'SLANDER']",pop,dance pop
77,5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),"['NOTD', 'HRVY']",pop,dance pop
78,3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,"['Ed Sheeran', 'Cardi B', 'Sam Feldt']",pop,dance pop
79,6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),['The Chainsmokers'],pop,dance pop
80,3OTSBoYKO7HzGVj8Bu2OH9,All the Time,['Zara Larsson'],pop,dance pop
81,4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),"['Jonas Blue', 'Theresa Rex']",pop,dance pop
82,1xK7enJZVdv37fnnxoZlPq,With You,"['Kaskade', 'Meghan Trainor']",pop,dance pop
